时段,(四惠枢纽站-老山公交场站)发车时刻,时段,(老山公交场站-四惠枢纽站)发车时刻
低峰,5:00,低峰,5:00
低峰,5:14,低峰,5:15
低峰,5:24,低峰,5:25
低峰,5:33,低峰,5:34
低峰,5:42,低峰,5:42
低峰,5:50,低峰,5:49
低峰,5:59,低峰,5:57
早高峰,6:08,早高峰,6:04
早高峰,6:15,早高峰,6:10
早高峰,6:22,早高峰,6:16
早高峰,6:28,早高峰,6:22
早高峰,6:35,早高峰,6:28
早高峰,6:39,早高峰,6:34
早高峰,6:44,早高峰,6:39
早高峰,6:48,早高峰,6:44
早高峰,6:52,早高峰,6:49
早高峰,6:57,早高峰,6:55
早高峰,7:01,早高峰,7:00
早高峰,7:06,早高峰,7:05
早高峰,7:10,早高峰,7:10
早高峰,7:15,早高峰,7:15
早高峰,7:21,早高峰,7:20
早高峰,7:26,早高峰,7:25
早高峰,7:31,早高峰,7:30
早高峰,7:37,早高峰,7:35
早高峰,7:42,早高峰,7:41
早高峰,7:47,早高峰,7:45
早高峰,7:53,早高峰,7:49
早高峰,7:59,早高峰,7:53
早高峰,8:06,早高峰,7:59
早高峰,8:13,早高峰,8:05
早高峰,8:20,早高峰,8:11
早高峰,8:27,早高峰,8:17
早高峰,8:34,早高峰,8:24
早高峰,8:44,早高峰,8:30
早高峰,8:49,早高峰,8:37
早高峰,8:54,早高峰,8:44
早高峰,8:59,早高峰,8:50
早高峰,9:05,早高峰,8:57
早高峰,9:12,早高峰,9:03
早高峰,9:18,早高峰,9:09
早高峰,9:23,早高峰,9:14
早高峰,9:29,早高峰,9:19
早高峰,9:34,早高峰,9:25
早高峰,9:39,早高峰,9:30
早高峰,9:43,早高峰,9:35
早高峰,9:48,早高峰,9:40
早高峰,9:52,早高峰,9:46
早高峰,9:57,早高峰,9:51
平峰,10:02,早高峰,9:57
平峰,10:07,平峰,10:04
平峰,10:12,平峰,10:11
平峰,10:18,平峰,10:18
平峰,10:24,平峰,10:26
平峰,10:30,平峰,10:34
平峰,10:36,平峰,10:41
平峰,10:43,平峰,10:49
平峰,10:49,平峰,10:56
平峰,10:56,平峰,11:04
平峰,11:02,平峰,11:10
平峰,11:10,平峰,11:16
平峰,11:18,平峰,11:23
平峰,11:25,平峰,11:28
平峰,11:32,平峰,11:34
平峰,11:40,平峰,11:40
平峰,11:50,平峰,11:48
平峰,11:59,平峰,11:55
平峰,12:07,平峰,12:02
平峰,12:16,平峰,12:10
平峰,12:25,平峰,12:16
平峰,12:34,平峰,12:23
平峰,12:41,平峰,12:30
平峰,12:48,平峰,12:37
平峰,12:54,平峰,12:44
平峰,13:01,平峰,12:51
平峰,13:09,平峰,12:58
平峰,13:18,平峰,13:06
平峰,13:26,平峰,13:13
平峰,13:33,平峰,13:20
平峰,13:42,平峰,13:26
平峰,13:49,平峰,13:33
平峰,13:55,平峰,13:41
平峰,14:03,平峰,13:48
平峰,14:10,平峰,13:55
平峰,14:19,平峰,14:02
平峰,14:27,平峰,14:08
平峰,14:34,平峰,14:15
平峰,14:41,平峰,14:21
平峰,14:47,平峰,14:29
平峰,14:54,平峰,14:36
平峰,15:00,平峰,14:43
平峰,15:06,平峰,14:49
平峰,15:12,平峰,14:56
平峰,15:17,平峰,15:03
平峰,15:21,平峰,15:10
平峰,15:27,平峰,15:18
平峰,15:32,平峰,15:25
平峰,15:39,平峰,15:33
平峰,15:46,平峰,15:40
平峰,15:52,平峰,15:47
平峰,15:59,平峰,15:55
晚高峰,16:06,晚高峰,16:02
晚高峰,16:11,晚高峰,16:08
晚高峰,16:19,晚高峰,16:13
晚高峰,16:28,晚高峰,16:19
晚高峰,16:34,晚高峰,16:25
晚高峰,16:42,晚高峰,16:31
晚高峰,16:48,晚高峰,16:37
晚高峰,16:55,晚高峰,16:43
晚高峰,17:03,晚高峰,16:49
晚高峰,17:09,晚高峰,16:54
晚高峰,17:15,晚高峰,17:00
晚高峰,17:24,晚高峰,17:06
晚高峰,17:30,晚高峰,17:12
晚高峰,17:39,晚高峰,17:17
晚高峰,17:48,晚高峰,17:23
晚高峰,17:59,晚高峰,17:29
晚高峰,18:05,晚高峰,17:35
晚高峰,18:14,晚高峰,17:42
晚高峰,18:22,晚高峰,17:50
晚高峰,18:32,晚高峰,17:59
晚高峰,18:43,晚高峰,18:07
晚高峰,18:54,晚高峰,18:17
晚高峰,19:03,晚高峰,18:27
晚高峰,19:10,晚高峰,18:35
晚高峰,19:19,晚高峰,18:44
晚高峰,19:29,晚高峰,18:53
晚高峰,19:35,晚高峰,19:02
晚高峰,19:41,晚高峰,19:13
晚高峰,19:47,晚高峰,19:23
晚高峰,19:53,晚高峰,19:33
低峰,20:01,晚高峰,19:43
低峰,20:11,晚高峰,19:51
低峰,20:25,低峰,20:00
低峰,20:35,低峰,20:09
低峰,20:46,低峰,20:19
低峰,20:57,低峰,20:28
低峰,21:04,低峰,20:38
低峰,21:14,低峰,20:47
低峰,21:23,低峰,20:56
低峰,21:33,低峰,21:04
低峰,21:44,低峰,21:13
低峰,21:56,低峰,21:21
低峰,22:10,低峰,21:31
低峰,22:24,低峰,21:43
低峰,22:38,低峰,21:56
低峰,23:00,低峰,22:08
,,低峰,22:21
,,低峰,22:36
,,低峰,23:00
