hour,annual,summer,winter
0,0.7777783090719215,0.8593150816567448,0.7533843223387165
1,0.7700256528231608,0.8545741672676459,0.743222896172057
2,0.7666268376423966,0.858100791788364,0.7351072438575345
3,0.7660756784238943,0.8646262253113319,0.7289249602384384
4,0.7684394862791089,0.8709945708823748,0.7260522055905
5,0.7731330504860962,0.8749783213431949,0.727261363919118
6,0.7560316727516616,0.8151529457320462,0.7367981385720561
7,0.6893239856134482,0.6752425613499706,0.7452847279037244
8,0.5562237857177166,0.5358144369803053,0.7059637982983203
9,0.3800753584124973,0.41147618127256325,0.4530505899109832
10,0.27047663510742936,0.32192976515718874,0.28211767388876574
11,0.214271857042486,0.26502151281328884,0.21517879727950906
12,0.1871336006946789,0.2365304709726365,0.1777318222152701
13,0.1831135435499563,0.23302740964470714,0.1689449505363886
14,0.20700740432563133,0.25996642252033964,0.18952794051809596
15,0.2626344946752049,0.316657893490583,0.2486353892805133
16,0.3871077857686893,0.4009025912284859,0.42976184722845073
17,0.5553336952556526,0.5602447552636942,0.613846166585836
18,0.6174309672069114,0.6102442794819289,0.6376343093217552
19,0.6510049577052475,0.6643076690164657,0.6477170518787174
20,0.667114882362721,0.7028036425152265,0.6517877243396027
21,0.6696113327022734,0.7061260526984421,0.6542140699366038
22,0.6927026074607758,0.7212332010350773,0.6823442632974673
23,0.7609224189204407,0.8109257089457422,0.7658853815529147
