（四惠枢纽站-老山公交场站）发车时刻,（老山公交场站-四惠枢纽站）发车时刻
5:00,5:00
5:05,5:16
5:15,5:28
5:24,5:40
5:34,5:50
5:43,5:59
5:51,6:09
6:01,6:18
6:09,6:27
6:18,6:36
6:28,6:45
6:37,6:53
6:43,7:01
6:50,7:08
6:57,7:15
7:05,7:22
7:11,7:29
7:18,7:36
7:25,7:43
7:31,7:49
7:38,7:56
7:45,8:03
7:51,8:10
7:58,8:17
8:05,8:23
8:10,8:30
8:17,8:36
8:24,8:42
8:31,8:49
8:37,8:55
8:44,9:01
8:50,9:08
8:56,9:14
9:02,9:20
9:09,9:27
9:16,9:33
9:21,9:39
9:28,9:45
9:34,9:51
9:41,9:57
9:47,10:02
9:54,10:08
10:01,10:14
10:07,10:21
10:14,10:28
10:21,10:35
10:28,10:42
10:34,10:49
10:42,10:56
10:50,11:03
10:59,11:10
11:08,11:17
11:15,11:25
11:24,11:32
11:31,11:40
11:39,11:49
11:47,11:58
11:55,12:07
12:04,12:16
12:13,12:25
12:22,12:33
12:30,12:41
12:38,12:50
12:46,12:58
12:55,13:05
13:02,13:13
13:11,13:21
13:18,13:29
13:25,13:36
13:32,13:44
13:40,13:52
13:47,13:59
13:54,14:06
14:01,14:14
14:07,14:21
14:14,14:28
14:21,14:35
14:29,14:43
14:38,14:50
14:46,14:58
14:55,15:05
15:05,15:12
15:15,15:20
15:24,15:27
15:33,15:34
15:43,15:42
15:51,15:50
16:00,15:59
16:09,16:08
16:18,16:17
16:28,16:25
16:37,16:33
16:45,16:42
16:53,16:50
17:00,16:57
17:07,17:04
17:14,17:12
17:22,17:19
17:30,17:27
17:36,17:35
17:42,17:45
17:49,17:55
17:56,18:06
18:04,18:15
18:13,18:22
18:20,18:28
18:28,18:34
18:37,18:41
18:44,18:48
18:50,18:54
18:58,19:00
19:06,19:08
19:13,19:15
19:21,19:22
19:29,19:30
19:36,19:38
19:44,19:45
19:53,19:54
20:02,20:02
20:11,20:10
20:20,20:19
20:31,20:28
20:43,20:37
20:58,20:46
21:13,20:58
21:28,21:10
21:43,21:22
21:58,21:34
22:15,21:47
22:30,22:02
22:44,22:17
23:00,22:32
,22:47
,23:00
